School,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25
St John Fisher College,6,20,15,12,1
St John's Anglican College,16,26,20,8,0
St John's College  Nambour,17,23,21,19,3
St John's School,5,6,11,6,0
St Joseph's College  Gregory Terrace,121,82,18,7,2
St Joseph's College  Toowoomba,16,28,25,17,3
St Joseph's Nudgee College,48,46,38,25,5
St Joseph's School  Stanthorpe,2,4,8,0,0
St Laurence's College,41,51,46,21,3
St Luke's Anglican School,15,20,14,15,1
St Margaret Mary's College,20,26,26,15,8
St Margaret's Anglican Girls School,28,30,22,8,0
St Mary's Catholic College  Woree,14,20,28,12,2
St Mary's College  Ipswich,3,16,25,15,8
St Mary's College  Maryborough,5,19,11,9,2
St Mary's College  Toowoomba,8,11,12,11,1
St Michael's College - Merrimac,9,13,29,12,2
St Monica's College,15,36,20,7,0
St Patrick's College  Gympie,15,16,12,2,1
St Patrick's College  Shorncliffe,13,37,40,32,6
St Patrick's College  Townsville,2,2,6,8,5
St Patrick's Senior College  Mackay,43,60,54,27,2
St Paul's School,33,43,33,28,14
St Peter Claver College,7,18,24,15,3
St Peters Lutheran College,58,80,45,20,3
St Peters Lutheran College - Springfield,8,7,4,5,5
St Rita's College,29,61,39,4,0
St Saviour's College,2,4,1,6,5
St Stephen's Catholic College  Mareeba,11,15,13,4,0
St Stephens Lutheran College,0,2,2,1,0
St Teresa's Catholic College,11,33,34,18,4
St Teresa's College  Abergowrie,0,1,0,1,0
St Thomas More College,4,19,23,11,2
St Ursula's College,10,21,24,8,0
St Ursula's College  Toowoomba,19,39,27,12,1
Staines Memorial College,0,4,4,6,0
Stanthorpe State High School,11,15,10,11,5
Stretton State College,4,18,23,20,2
Stuartholme School,28,28,22,3,0
Suncoast Christian College,8,12,14,6,0
Sunnybank State High School,1,5,5,0,0
Sunshine Beach State High School,9,20,24,19,1
Sunshine Coast Grammar School,22,26,21,10,0
TAFE Queensland Brisbane,0,1,1,1,0
Tagai State College,0,0,3,7,2
Tamborine Mountain College,1,14,11,14,2
Tamborine Mountain State High School,9,24,17,5,0
Tannum Sands State High School,19,20,23,13,3
Tara Shire State College,0,0,1,1,0
The Cathedral College  Rockhampton,13,41,29,19,0
The Cathedral School,14,21,24,12,1
The Gap State High School,42,44,33,6,0
The Glennie School,21,22,25,11,1
The Kooralbyn International School,2,3,6,3,0
The Lakes College,3,9,1,0,0
The Rockhampton Grammar School,42,48,34,8,0
The School of Total Education,2,5,1,0,0
The Southport School,26,37,23,14,1
The Springfield Anglican College,3,13,2,1,0
Thuringowa State High School,3,4,7,12,3
Toogoolawah State High School,2,4,4,4,0
Toolooa State High School,6,10,10,7,0
Toowoomba Grammar School,47,43,32,10,0
Toowoomba SHS - Wilsonton Campus,8,12,12,3,0
Toowoomba State High School,16,29,22,11,2
Townsville Grammar School,37,49,38,11,1
Townsville State High School,3,13,13,13,0
Trinity Anglican School,19,23,15,7,2
Trinity Bay State High School,9,14,18,21,1
Trinity College (Beenleigh),5,13,30,27,8
Trinity Lutheran College,6,13,16,7,0
Tullawong State High School,5,9,18,15,1
Tully State High School,7,6,10,8,2
Unity College,9,13,16,12,4
Upper Coomera State College,3,14,21,14,0
Urangan State High School,7,26,38,32,1
Varsity College,34,39,31,3,0
Victoria Point State High School,4,21,20,23,0
Victory College,3,3,3,2,0
Villanova College,41,48,40,14,1
Warwick State High School,14,19,20,17,9
Wavell State High School,18,28,38,30,6
Wellington Point State High School,13,18,11,11,1
West Moreton Anglican College,24,28,15,13,3
Western Cape College,0,5,4,4,0
Westside Christian College,16,23,10,12,3
Whites Hill State College,2,5,8,3,1
Whitsunday Anglican School,24,29,22,4,0
Whitsunday Christian College,0,7,4,9,0
William Ross State High School,9,21,24,20,0
Windaroo Valley State High School,2,12,7,10,0
Winton State School,0,0,1,0,0
Woodcrest State College,2,11,12,13,0
Woodridge State High School,1,3,4,16,20
Woree State High School,1,6,6,6,3
Wynnum State High School,3,10,12,6,0
Xavier Catholic College,6,30,19,11,0
Yeppoon State High School,7,15,15,13,1
Yeronga State High School,6,6,2,0,0
